Date,Transaction_Type,Category,Rack,Bay,Shelf
1/9/2023,Input,Category B,Rack 2,4,1
1/9/2023,Input,Category A,Rack 1,3,3
1/9/2023,Input,Category C,Rack 1,3,4
1/9/2023,Input,Category C,Rack 1,9,4
1/9/2023,Input,Category C,Rack 2,7,4
1/9/2023,Input,Category C,Rack 1,8,1
1/9/2023,Input,Category C,Rack 1,3,3
1/9/2023,Input,Category B,Rack 1,3,2
1/9/2023,Input,Category A,Rack 1,7,4
1/9/2023,Input,Category C,Rack 1,4,4
2/9/2023,Input,Category B,Rack 2,5,2
2/9/2023,Input,Category B,Rack 1,5,1
2/9/2023,Input,Category A,Rack 1,10,1
2/9/2023,Input,Category A,Rack 1,5,4
2/9/2023,Input,Category A,Rack 1,5,1
2/9/2023,Input,Category B,Rack 2,7,1
2/9/2023,Input,Category B,Rack 1,7,1
2/9/2023,Input,Category C,Rack 1,3,1
2/9/2023,Input,Category B,Rack 2,5,4
2/9/2023,Input,Category A,Rack 2,6,4
3/9/2023,Input,Category C,Rack 1,8,1
3/9/2023,Input,Category C,Rack 1,6,2
3/9/2023,Input,Category B,Rack 1,10,4
3/9/2023,Input,Category C,Rack 1,10,1
3/9/2023,Input,Category B,Rack 2,7,1
3/9/2023,Input,Category C,Rack 2,1,1
3/9/2023,Input,Category C,Rack 2,4,1
3/9/2023,Input,Category C,Rack 2,8,3
3/9/2023,Input,Category B,Rack 1,6,1
3/9/2023,Input,Category C,Rack 2,5,4
4/9/2023,Input,Category A,Rack 1,1,1
4/9/2023,Input,Category C,Rack 1,5,1
4/9/2023,Input,Category A,Rack 2,2,4
4/9/2023,Input,Category A,Rack 2,6,4
4/9/2023,Input,Category A,Rack 2,4,4
4/9/2023,Input,Category B,Rack 2,3,1
4/9/2023,Input,Category B,Rack 1,10,4
4/9/2023,Input,Category B,Rack 2,10,4
4/9/2023,Input,Category B,Rack 2,4,2
4/9/2023,Input,Category A,Rack 1,7,1
5/9/2023,Input,Category B,Rack 1,4,2
5/9/2023,Input,Category C,Rack 1,7,2
5/9/2023,Input,Category A,Rack 1,4,1
5/9/2023,Input,Category B,Rack 2,7,1
5/9/2023,Input,Category C,Rack 1,8,3
5/9/2023,Input,Category C,Rack 2,10,4
5/9/2023,Input,Category A,Rack 2,1,4
5/9/2023,Input,Category A,Rack 2,5,2
5/9/2023,Input,Category B,Rack 2,4,4
5/9/2023,Input,Category A,Rack 2,10,4
6/9/2023,Input,Category A,Rack 1,10,1
6/9/2023,Input,Category B,Rack 1,5,4
6/9/2023,Input,Category B,Rack 1,7,4
6/9/2023,Input,Category C,Rack 1,5,4
6/9/2023,Input,Category B,Rack 1,10,1
6/9/2023,Input,Category B,Rack 1,10,1
6/9/2023,Input,Category B,Rack 2,4,1
6/9/2023,Input,Category A,Rack 2,5,1
6/9/2023,Input,Category C,Rack 1,2,3
6/9/2023,Input,Category B,Rack 1,3,4
7/9/2023,Input,Category C,Rack 2,9,1
7/9/2023,Input,Category B,Rack 2,3,3
7/9/2023,Input,Category A,Rack 1,4,2
7/9/2023,Input,Category B,Rack 1,8,1
7/9/2023,Input,Category C,Rack 1,3,3
7/9/2023,Input,Category C,Rack 2,5,4
7/9/2023,Input,Category A,Rack 2,10,1
7/9/2023,Input,Category A,Rack 1,8,4
7/9/2023,Input,Category C,Rack 2,10,4
7/9/2023,Input,Category C,Rack 1,10,1
8/9/2023,Input,Category A,Rack 2,10,1
8/9/2023,Input,Category A,Rack 2,4,4
8/9/2023,Input,Category C,Rack 2,7,4
8/9/2023,Input,Category B,Rack 1,8,1
8/9/2023,Input,Category A,Rack 2,8,4
8/9/2023,Input,Category B,Rack 2,9,4
8/9/2023,Input,Category C,Rack 2,6,4
8/9/2023,Input,Category B,Rack 1,8,3
8/9/2023,Input,Category B,Rack 2,10,1
8/9/2023,Input,Category B,Rack 1,8,2
9/9/2023,Input,Category B,Rack 2,7,4
9/9/2023,Input,Category C,Rack 2,2,1
9/9/2023,Input,Category C,Rack 2,5,1
9/9/2023,Input,Category C,Rack 1,10,4
9/9/2023,Input,Category C,Rack 1,7,2
9/9/2023,Input,Category A,Rack 1,6,4
9/9/2023,Input,Category A,Rack 1,2,4
9/9/2023,Input,Category A,Rack 1,10,1
9/9/2023,Input,Category A,Rack 2,1,4
9/9/2023,Input,Category C,Rack 2,3,4
10/9/2023,Input,Category B,Rack 2,8,4
10/9/2023,Input,Category A,Rack 2,2,3
10/9/2023,Input,Category B,Rack 1,5,1
10/9/2023,Input,Category B,Rack 1,10,1
10/9/2023,Input,Category C,Rack 1,3,4
10/9/2023,Input,Category A,Rack 2,7,1
10/9/2023,Input,Category A,Rack 1,8,2
10/9/2023,Input,Category B,Rack 2,4,1
10/9/2023,Input,Category B,Rack 2,6,4
10/9/2023,Input,Category A,Rack 1,10,1
11/9/2023,Input,Category C,Rack 1,4,4
11/9/2023,Input,Category C,Rack 1,2,1
11/9/2023,Input,Category A,Rack 1,6,4
11/9/2023,Input,Category B,Rack 2,7,1
11/9/2023,Input,Category C,Rack 1,4,1
11/9/2023,Input,Category A,Rack 2,7,4
11/9/2023,Input,Category C,Rack 1,8,3
11/9/2023,Input,Category B,Rack 2,4,1
11/9/2023,Input,Category A,Rack 1,7,2
11/9/2023,Input,Category A,Rack 2,2,4
12/9/2023,Input,Category C,Rack 1,1,2
12/9/2023,Input,Category C,Rack 1,2,1
12/9/2023,Input,Category B,Rack 1,6,4
12/9/2023,Input,Category A,Rack 1,4,4
12/9/2023,Input,Category C,Rack 1,2,1
12/9/2023,Input,Category C,Rack 1,8,1
12/9/2023,Input,Category B,Rack 2,8,4
12/9/2023,Input,Category C,Rack 2,2,4
12/9/2023,Input,Category C,Rack 2,3,1
12/9/2023,Input,Category A,Rack 2,2,3
13/9/2023,Input,Category C,Rack 1,9,1
13/9/2023,Input,Category A,Rack 1,10,2
13/9/2023,Input,Category C,Rack 2,7,1
13/9/2023,Input,Category C,Rack 2,9,1
13/9/2023,Input,Category A,Rack 2,8,1
13/9/2023,Input,Category A,Rack 1,3,1
13/9/2023,Input,Category C,Rack 2,4,1
13/9/2023,Input,Category B,Rack 2,4,4
13/9/2023,Input,Category C,Rack 2,5,2
13/9/2023,Input,Category C,Rack 1,8,1
14/9/2023,Input,Category A,Rack 2,7,3
14/9/2023,Input,Category C,Rack 1,5,1
14/9/2023,Input,Category A,Rack 1,6,4
14/9/2023,Input,Category B,Rack 1,4,1
14/9/2023,Input,Category A,Rack 2,3,4
14/9/2023,Input,Category B,Rack 2,7,1
14/9/2023,Input,Category A,Rack 1,4,1
14/9/2023,Input,Category B,Rack 1,6,4
14/9/2023,Input,Category C,Rack 1,7,1
14/9/2023,Input,Category A,Rack 1,8,4
15/9/2023,Input,Category C,Rack 1,6,4
15/9/2023,Input,Category A,Rack 1,3,2
15/9/2023,Input,Category A,Rack 2,1,3
15/9/2023,Input,Category B,Rack 1,1,1
15/9/2023,Input,Category B,Rack 2,9,4
15/9/2023,Input,Category B,Rack 2,6,4
15/9/2023,Input,Category B,Rack 1,10,4
15/9/2023,Input,Category C,Rack 2,6,1
15/9/2023,Input,Category C,Rack 1,4,4
15/9/2023,Input,Category B,Rack 1,4,3
16/9/2023,Input,Category A,Rack 2,4,4
16/9/2023,Input,Category B,Rack 1,4,1
16/9/2023,Input,Category A,Rack 2,1,4
16/9/2023,Input,Category B,Rack 1,10,2
16/9/2023,Input,Category B,Rack 1,8,4
16/9/2023,Input,Category C,Rack 2,6,3
16/9/2023,Input,Category C,Rack 1,9,1
16/9/2023,Input,Category A,Rack 2,9,1
16/9/2023,Input,Category A,Rack 1,9,4
16/9/2023,Input,Category C,Rack 1,4,1
17/9/2023,Input,Category A,Rack 2,9,4
17/9/2023,Input,Category C,Rack 2,7,1
17/9/2023,Input,Category C,Rack 2,2,1
17/9/2023,Input,Category B,Rack 1,4,1
17/9/2023,Input,Category A,Rack 2,2,1
17/9/2023,Input,Category A,Rack 2,8,2
17/9/2023,Input,Category B,Rack 2,7,1
17/9/2023,Input,Category A,Rack 1,8,4
17/9/2023,Input,Category C,Rack 1,10,3
17/9/2023,Input,Category B,Rack 2,1,4
18/9/2023,Input,Category B,Rack 1,8,1
18/9/2023,Input,Category C,Rack 2,5,4
18/9/2023,Input,Category B,Rack 1,10,4
18/9/2023,Input,Category B,Rack 2,6,1
18/9/2023,Input,Category A,Rack 2,8,1
18/9/2023,Input,Category B,Rack 1,6,4
18/9/2023,Input,Category A,Rack 1,5,3
18/9/2023,Input,Category A,Rack 1,7,1
18/9/2023,Input,Category A,Rack 2,5,3
18/9/2023,Input,Category C,Rack 1,8,1
19/9/2023,Input,Category B,Rack 2,9,2
19/9/2023,Input,Category A,Rack 1,3,4
19/9/2023,Input,Category A,Rack 2,2,4
19/9/2023,Input,Category A,Rack 2,1,4
19/9/2023,Input,Category B,Rack 1,7,2
19/9/2023,Input,Category C,Rack 2,9,1
19/9/2023,Input,Category C,Rack 2,1,2
19/9/2023,Input,Category C,Rack 2,5,1
19/9/2023,Input,Category A,Rack 2,10,1
19/9/2023,Input,Category A,Rack 1,5,1
20/9/2023,Input,Category B,Rack 2,6,1
20/9/2023,Input,Category B,Rack 1,4,1
20/9/2023,Input,Category B,Rack 2,1,1
20/9/2023,Input,Category A,Rack 2,9,1
20/9/2023,Input,Category C,Rack 2,7,1
20/9/2023,Input,Category B,Rack 1,8,1
20/9/2023,Input,Category B,Rack 1,6,1
20/9/2023,Input,Category B,Rack 1,3,3
20/9/2023,Input,Category A,Rack 1,5,1
20/9/2023,Input,Category A,Rack 1,4,4
21/9/2023,Input,Category B,Rack 1,10,1
21/9/2023,Input,Category B,Rack 2,5,1
21/9/2023,Input,Category A,Rack 2,10,1
21/9/2023,Input,Category A,Rack 1,4,4
21/9/2023,Input,Category B,Rack 1,8,1
21/9/2023,Input,Category C,Rack 2,5,4
21/9/2023,Input,Category B,Rack 2,1,1
21/9/2023,Input,Category C,Rack 1,3,3
21/9/2023,Input,Category A,Rack 1,1,4
21/9/2023,Input,Category C,Rack 2,9,2
22/9/2023,Input,Category A,Rack 2,8,1
22/9/2023,Input,Category B,Rack 2,7,1
22/9/2023,Input,Category C,Rack 2,5,1
22/9/2023,Input,Category B,Rack 2,5,1
22/9/2023,Input,Category A,Rack 1,3,1
22/9/2023,Input,Category A,Rack 2,10,4
22/9/2023,Input,Category C,Rack 2,9,4
22/9/2023,Input,Category C,Rack 1,9,1
22/9/2023,Input,Category A,Rack 2,2,1
22/9/2023,Input,Category B,Rack 1,7,4
23/9/2023,Input,Category C,Rack 2,2,4
23/9/2023,Input,Category A,Rack 1,3,4
23/9/2023,Input,Category A,Rack 1,9,2
23/9/2023,Input,Category B,Rack 1,10,4
23/9/2023,Input,Category C,Rack 2,5,4
23/9/2023,Input,Category C,Rack 2,7,4
23/9/2023,Input,Category C,Rack 2,9,2
23/9/2023,Input,Category B,Rack 2,3,1
23/9/2023,Input,Category A,Rack 2,1,3
23/9/2023,Input,Category A,Rack 2,10,4
24/9/2023,Input,Category B,Rack 1,5,4
24/9/2023,Input,Category A,Rack 1,7,4
24/9/2023,Input,Category A,Rack 2,8,2
24/9/2023,Input,Category A,Rack 2,1,4
24/9/2023,Input,Category C,Rack 1,7,2
24/9/2023,Input,Category C,Rack 1,9,1
24/9/2023,Input,Category A,Rack 1,6,3
24/9/2023,Input,Category C,Rack 2,1,3
24/9/2023,Input,Category B,Rack 2,5,1
24/9/2023,Input,Category A,Rack 1,7,4
25/9/2023,Input,Category B,Rack 1,10,1
25/9/2023,Input,Category B,Rack 2,3,3
25/9/2023,Input,Category C,Rack 1,5,4
25/9/2023,Input,Category C,Rack 2,6,1
25/9/2023,Input,Category B,Rack 1,9,1
25/9/2023,Input,Category C,Rack 1,4,1
25/9/2023,Input,Category A,Rack 1,6,4
25/9/2023,Input,Category B,Rack 1,9,4
25/9/2023,Input,Category C,Rack 1,4,1
25/9/2023,Input,Category B,Rack 2,2,4
26/9/2023,Input,Category A,Rack 2,10,4
26/9/2023,Input,Category B,Rack 2,9,3
26/9/2023,Input,Category B,Rack 1,8,1
26/9/2023,Input,Category A,Rack 1,2,4
26/9/2023,Input,Category B,Rack 1,1,3
26/9/2023,Input,Category A,Rack 2,6,4
26/9/2023,Input,Category C,Rack 2,8,1
26/9/2023,Input,Category C,Rack 1,8,1
26/9/2023,Input,Category A,Rack 2,6,2
26/9/2023,Input,Category B,Rack 1,3,1
27/9/2023,Input,Category A,Rack 1,8,1
27/9/2023,Input,Category B,Rack 1,3,1
27/9/2023,Input,Category B,Rack 2,1,3
27/9/2023,Input,Category A,Rack 1,6,4
27/9/2023,Input,Category A,Rack 1,5,4
27/9/2023,Input,Category A,Rack 2,1,1
27/9/2023,Input,Category C,Rack 1,10,4
27/9/2023,Input,Category B,Rack 2,1,2
27/9/2023,Input,Category C,Rack 1,4,1
27/9/2023,Input,Category A,Rack 1,5,4
28/9/2023,Input,Category C,Rack 2,2,1
28/9/2023,Input,Category C,Rack 2,9,1
28/9/2023,Input,Category C,Rack 1,8,1
28/9/2023,Input,Category B,Rack 1,3,1
28/9/2023,Input,Category B,Rack 2,8,1
28/9/2023,Input,Category B,Rack 2,7,1
28/9/2023,Input,Category C,Rack 2,7,4
28/9/2023,Input,Category A,Rack 2,10,1
28/9/2023,Input,Category C,Rack 2,4,1
28/9/2023,Input,Category C,Rack 1,6,1
29/9/2023,Input,Category A,Rack 2,3,4
29/9/2023,Input,Category B,Rack 2,4,1
29/9/2023,Input,Category C,Rack 1,5,4
29/9/2023,Input,Category A,Rack 1,1,1
29/9/2023,Input,Category A,Rack 2,6,4
29/9/2023,Input,Category B,Rack 2,2,4
29/9/2023,Input,Category C,Rack 2,3,4
29/9/2023,Input,Category C,Rack 2,3,1
29/9/2023,Input,Category A,Rack 2,7,1
29/9/2023,Input,Category A,Rack 2,9,1
30/9/2023,Input,Category A,Rack 2,7,4
30/9/2023,Input,Category C,Rack 2,5,1
30/9/2023,Input,Category A,Rack 2,8,4
30/9/2023,Input,Category A,Rack 1,1,1
30/9/2023,Input,Category C,Rack 1,7,4
30/9/2023,Input,Category A,Rack 2,2,1
30/9/2023,Input,Category C,Rack 1,3,4
30/9/2023,Input,Category B,Rack 1,1,1
30/9/2023,Input,Category A,Rack 2,3,4
30/9/2023,Input,Category B,Rack 2,9,1