Date,Transaction_Type,Category
1/9/2023,Output,Category A
1/9/2023,Output,Category A
1/9/2023,Output,Category C
1/9/2023,Output,Category A
1/9/2023,Output,Category C
1/9/2023,Output,Category A
1/9/2023,Output,Category B
1/9/2023,Output,Category A
1/9/2023,Output,Category A
1/9/2023,Output,Category A
2/9/2023,Output,Category B
2/9/2023,Output,Category C
2/9/2023,Output,Category B
2/9/2023,Output,Category C
2/9/2023,Output,Category B
2/9/2023,Output,Category B
2/9/2023,Output,Category B
2/9/2023,Output,Category A
2/9/2023,Output,Category B
2/9/2023,Output,Category B
3/9/2023,Output,Category B
3/9/2023,Output,Category C
3/9/2023,Output,Category C
3/9/2023,Output,Category A
3/9/2023,Output,Category A
3/9/2023,Output,Category C
3/9/2023,Output,Category C
3/9/2023,Output,Category C
3/9/2023,Output,Category C
3/9/2023,Output,Category A
4/9/2023,Output,Category B
4/9/2023,Output,Category C
4/9/2023,Output,Category C
4/9/2023,Output,Category A
4/9/2023,Output,Category A
4/9/2023,Output,Category B
4/9/2023,Output,Category C
4/9/2023,Output,Category A
4/9/2023,Output,Category C
4/9/2023,Output,Category A
5/9/2023,Output,Category C
5/9/2023,Output,Category A
5/9/2023,Output,Category C
5/9/2023,Output,Category A
5/9/2023,Output,Category A
5/9/2023,Output,Category A
5/9/2023,Output,Category C
5/9/2023,Output,Category B
5/9/2023,Output,Category A
5/9/2023,Output,Category B
6/9/2023,Output,Category B
6/9/2023,Output,Category A
6/9/2023,Output,Category A
6/9/2023,Output,Category C
6/9/2023,Output,Category A
6/9/2023,Output,Category A
6/9/2023,Output,Category A
6/9/2023,Output,Category A
6/9/2023,Output,Category B
6/9/2023,Output,Category C
7/9/2023,Output,Category B
7/9/2023,Output,Category A
7/9/2023,Output,Category C
7/9/2023,Output,Category B
7/9/2023,Output,Category A
7/9/2023,Output,Category B
7/9/2023,Output,Category A
7/9/2023,Output,Category C
7/9/2023,Output,Category B
7/9/2023,Output,Category A
8/9/2023,Output,Category A
8/9/2023,Output,Category A
8/9/2023,Output,Category A
8/9/2023,Output,Category B
8/9/2023,Output,Category A
8/9/2023,Output,Category A
8/9/2023,Output,Category A
8/9/2023,Output,Category A
8/9/2023,Output,Category B
8/9/2023,Output,Category B
9/9/2023,Output,Category B
9/9/2023,Output,Category C
9/9/2023,Output,Category B
9/9/2023,Output,Category A
9/9/2023,Output,Category A
9/9/2023,Output,Category C
9/9/2023,Output,Category C
9/9/2023,Output,Category A
9/9/2023,Output,Category C
9/9/2023,Output,Category A
10/9/2023,Output,Category B
10/9/2023,Output,Category B
10/9/2023,Output,Category C
10/9/2023,Output,Category B
10/9/2023,Output,Category A
10/9/2023,Output,Category B
10/9/2023,Output,Category C
10/9/2023,Output,Category B
10/9/2023,Output,Category B
10/9/2023,Output,Category C
11/9/2023,Output,Category B
11/9/2023,Output,Category B
11/9/2023,Output,Category B
11/9/2023,Output,Category B
11/9/2023,Output,Category A
11/9/2023,Output,Category C
11/9/2023,Output,Category B
11/9/2023,Output,Category A
11/9/2023,Output,Category A
11/9/2023,Output,Category B
12/9/2023,Output,Category A
12/9/2023,Output,Category C
12/9/2023,Output,Category C
12/9/2023,Output,Category C
12/9/2023,Output,Category A
12/9/2023,Output,Category A
12/9/2023,Output,Category B
12/9/2023,Output,Category B
12/9/2023,Output,Category A
12/9/2023,Output,Category C
13/9/2023,Output,Category C
13/9/2023,Output,Category C
13/9/2023,Output,Category B
13/9/2023,Output,Category B
13/9/2023,Output,Category C
13/9/2023,Output,Category C
13/9/2023,Output,Category C
13/9/2023,Output,Category A
13/9/2023,Output,Category B
13/9/2023,Output,Category C
14/9/2023,Output,Category C
14/9/2023,Output,Category C
14/9/2023,Output,Category B
14/9/2023,Output,Category A
14/9/2023,Output,Category A
14/9/2023,Output,Category B
14/9/2023,Output,Category C
14/9/2023,Output,Category A
14/9/2023,Output,Category B
14/9/2023,Output,Category C
15/9/2023,Output,Category A
15/9/2023,Output,Category C
15/9/2023,Output,Category A
15/9/2023,Output,Category C
15/9/2023,Output,Category B
15/9/2023,Output,Category A
15/9/2023,Output,Category B
15/9/2023,Output,Category A
15/9/2023,Output,Category B
15/9/2023,Output,Category A
16/9/2023,Output,Category C
16/9/2023,Output,Category A
16/9/2023,Output,Category B
16/9/2023,Output,Category A
16/9/2023,Output,Category C
16/9/2023,Output,Category B
16/9/2023,Output,Category A
16/9/2023,Output,Category C
16/9/2023,Output,Category B
16/9/2023,Output,Category A
17/9/2023,Output,Category A
17/9/2023,Output,Category B
17/9/2023,Output,Category A
17/9/2023,Output,Category C
17/9/2023,Output,Category B
17/9/2023,Output,Category B
17/9/2023,Output,Category B
17/9/2023,Output,Category A
17/9/2023,Output,Category C
17/9/2023,Output,Category A
18/9/2023,Output,Category A
18/9/2023,Output,Category B
18/9/2023,Output,Category B
18/9/2023,Output,Category C
18/9/2023,Output,Category B
18/9/2023,Output,Category B
18/9/2023,Output,Category B
18/9/2023,Output,Category B
18/9/2023,Output,Category B
18/9/2023,Output,Category A
19/9/2023,Output,Category A
19/9/2023,Output,Category C
19/9/2023,Output,Category C
19/9/2023,Output,Category A
19/9/2023,Output,Category A
19/9/2023,Output,Category C
19/9/2023,Output,Category B
19/9/2023,Output,Category A
19/9/2023,Output,Category B
19/9/2023,Output,Category C
20/9/2023,Output,Category B
20/9/2023,Output,Category C
20/9/2023,Output,Category A
20/9/2023,Output,Category A
20/9/2023,Output,Category C
20/9/2023,Output,Category B
20/9/2023,Output,Category C
20/9/2023,Output,Category B
20/9/2023,Output,Category A
20/9/2023,Output,Category C
21/9/2023,Output,Category B
21/9/2023,Output,Category C
21/9/2023,Output,Category A
21/9/2023,Output,Category C
21/9/2023,Output,Category B
21/9/2023,Output,Category A
21/9/2023,Output,Category A
21/9/2023,Output,Category A
21/9/2023,Output,Category A
21/9/2023,Output,Category A
22/9/2023,Output,Category B
22/9/2023,Output,Category A
22/9/2023,Output,Category A
22/9/2023,Output,Category A
22/9/2023,Output,Category A
22/9/2023,Output,Category C
22/9/2023,Output,Category C
22/9/2023,Output,Category A
22/9/2023,Output,Category C
22/9/2023,Output,Category A
23/9/2023,Output,Category C
23/9/2023,Output,Category B
23/9/2023,Output,Category C
23/9/2023,Output,Category A
23/9/2023,Output,Category C
23/9/2023,Output,Category C
23/9/2023,Output,Category A
23/9/2023,Output,Category A
23/9/2023,Output,Category A
23/9/2023,Output,Category C
24/9/2023,Output,Category A
24/9/2023,Output,Category C
24/9/2023,Output,Category A
24/9/2023,Output,Category A
24/9/2023,Output,Category C
24/9/2023,Output,Category C
24/9/2023,Output,Category A
24/9/2023,Output,Category C
24/9/2023,Output,Category C
24/9/2023,Output,Category B
25/9/2023,Output,Category A
25/9/2023,Output,Category A
25/9/2023,Output,Category A
25/9/2023,Output,Category A
25/9/2023,Output,Category A
25/9/2023,Output,Category C
25/9/2023,Output,Category B
25/9/2023,Output,Category B
25/9/2023,Output,Category A
25/9/2023,Output,Category C
26/9/2023,Output,Category B
26/9/2023,Output,Category B
26/9/2023,Output,Category C
26/9/2023,Output,Category A
26/9/2023,Output,Category C
26/9/2023,Output,Category B
26/9/2023,Output,Category A
26/9/2023,Output,Category C
26/9/2023,Output,Category B
26/9/2023,Output,Category B
27/9/2023,Output,Category C
27/9/2023,Output,Category A
27/9/2023,Output,Category C
27/9/2023,Output,Category B
27/9/2023,Output,Category C
27/9/2023,Output,Category B
27/9/2023,Output,Category C
27/9/2023,Output,Category C
27/9/2023,Output,Category C
27/9/2023,Output,Category B
28/9/2023,Output,Category C
28/9/2023,Output,Category C
28/9/2023,Output,Category A
28/9/2023,Output,Category C
28/9/2023,Output,Category B
28/9/2023,Output,Category A
28/9/2023,Output,Category C
28/9/2023,Output,Category B
28/9/2023,Output,Category A
28/9/2023,Output,Category A
29/9/2023,Output,Category A
29/9/2023,Output,Category A
29/9/2023,Output,Category C
29/9/2023,Output,Category A
29/9/2023,Output,Category C
29/9/2023,Output,Category C
29/9/2023,Output,Category B
29/9/2023,Output,Category A
29/9/2023,Output,Category A
29/9/2023,Output,Category C
30/9/2023,Output,Category C
30/9/2023,Output,Category C
30/9/2023,Output,Category C
30/9/2023,Output,Category C
30/9/2023,Output,Category C
30/9/2023,Output,Category C
30/9/2023,Output,Category C
30/9/2023,Output,Category A
30/9/2023,Output,Category B
30/9/2023,Output,Category A